title,type,description,page_url,instructions
Happy path: basic flow,happy,Validate the happy path on https://practicetestautomation.com/practice-test-login/ using the provided instructions.,https://practicetestautomation.com/practice-test-login/,verify page loads | capture DOM after login
Negative path: invalid or missing input,negative,Validate expected failures when input is incorrect or required steps are skipped.,https://practicetestautomation.com/practice-test-login/,fill username with invalid_user | fill password with invalid_pass | click login | verify error message appears
Edge case: alternate navigation or UI behavior,edge,Verify edge cases and alternate navigation from the same starting point.,https://practicetestautomation.com/practice-test-login/,verify navigation is stable | capture DOM after each major step | verify links are visible
Test Login | Practice Test Automation: exploratory case 1,exploratory,"Auto-generated exploratory case for Test Login | Practice Test Automation to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/practice-test-login/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice-test-login/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Test Login | Practice Test Automation: exploratory case 2,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link https://practicetestautomation.,https://practicetestautomation.com/practice-test-login/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Test Login | Practice Test Automation: exploratory case 3,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link HOME.,https://practicetestautomation.com/practice-test-login/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Test Login | Practice Test Automation: exploratory case 4,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link PRACTICE.,https://practicetestautomation.com/practice-test-login/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Test Login | Practice Test Automation: exploratory case 5,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link COURSES.,https://practicetestautomation.com/practice-test-login/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
Test Login | Practice Test Automation: exploratory case 1,exploratory,"Auto-generated exploratory case for Test Login | Practice Test Automation to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/practice-test-login/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice-test-login/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Test Login | Practice Test Automation: exploratory case 2,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link https://practicetestautomation.,https://practicetestautomation.com/practice-test-login/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Test Login | Practice Test Automation: exploratory case 3,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link HOME.,https://practicetestautomation.com/practice-test-login/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Test Login | Practice Test Automation: exploratory case 4,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link PRACTICE.,https://practicetestautomation.com/practice-test-login/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Test Login | Practice Test Automation: exploratory case 5,exploratory,Auto-generated exploratory case for Test Login | Practice Test Automation to click link COURSES.,https://practicetestautomation.com/practice-test-login/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 1,exploratory,"Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Practice Test Automation | Learn Selenium WebDriver: exploratory case 2,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link https://practicetestautomation.,https://practicetestautomation.com/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 3,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link HOME.,https://practicetestautomation.com/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 4,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link PRACTICE.,https://practicetestautomation.com/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 5,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link COURSES.,https://practicetestautomation.com/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
Practice | Practice Test Automation: exploratory case 1,exploratory,"Auto-generated exploratory case for Practice | Practice Test Automation to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/practice/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
